src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.16.253.1,172.16.253.255,17500,17500,17,2013-01-05 22:40:32,147286138.0,14.712857770769983,0.04073703120656202,0.04073703120656202,0.0,6,0,2167,0,363.0,352.0,361.1666666666667,4.099457958749615,0.0,0.0,0.0,0.0,363,352,361.1666666666667,4.099457958749615,16.805555555555557,48,0,8,6,29457227.6,31161012.0,26063474.0,1753422.0615631137,147286138.0,31161012.0,26063474.0,29457227.6,1753422.061563114,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,361.1666666666667,0,0,0.0,0.0,0.0,0.0,26063474.0,5097538.0,15580506.0,10482968.0,0.0,0.0,0.0,0.0,0.0,0.0,361.1666666666667,0.0,0,6,0,2167,0
0.0.0.0,255.255.255.255,68,67,17,2013-01-05 22:40:43,1002705.0,695.1197012082317,1.9946045945716837,1.9946045945716837,0.0,2,0,697,0,355.0,342.0,348.5,6.5,0.0,0.0,0.0,0.0,355,342,348.5,6.5,42.25,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,348.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.5,0.0,0,2,0,697,0
172.16.253.254,172.16.253.130,67,68,17,2013-01-05 22:40:44,2100.0,325714.28571428574,952.3809523809524,952.3809523809524,0.0,2,0,684,0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,342,342,342.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0,2,0,684,0
172.16.253.130,8.8.8.8,53,53,17,2013-01-05 22:40:47,15073.0,13733.165262389704,132.68758707622902,66.34379353811451,66.34379353811451,1,1,76,131,76.0,76.0,76.0,0.0,131.0,131.0,131.0,0.0,131,76,103.5,27.5,756.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,103.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,131.0,0,1,1,76,131
172.16.253.130,4.2.2.2,53,53,17,2013-01-05 22:40:47,39070.0,5298.182748912209,51.19017148707448,25.59508574353724,25.59508574353724,1,1,76,131,76.0,76.0,76.0,0.0,131.0,131.0,131.0,0.0,131,76,103.5,27.5,756.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,103.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,131.0,0,1,1,76,131
172.16.253.130,65.55.21.13,123,123,17,2013-01-05 22:40:47,86184.0,2088.5547201336676,23.20616355704075,11.603081778520375,11.603081778520375,1,1,90,90,90.0,90.0,90.0,0.0,90.0,90.0,90.0,0.0,90,90,90.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0,1,1,90,90
172.16.253.130,117.55.241.58,1092,80,6,2013-01-05 22:41:53,3548507.0,36396.99738509745,34.380656428182334,10.145111732906262,24.235544695276072,36,86,2231,126924,333.0,54.0,61.97222222222222,45.83090060883905,1514.0,60.0,1475.860465116279,222.08102244454886,1514,54,1058.6475409836066,671.7232905380981,451212.1790513302,720,1720,20,1,29326.504132231406,323040.0,6.0,71355.13885935905,3548507.0,323621.0,240.0,101385.91428571429,105566.29961778832,3239529.0,323040.0,6.0,38112.10588235294,76806.51579513804,0,0,0,0,1,0,0,0,0,0,0,2.388888888888889,1058.6475409836066,64240,64240,323006.0,33322.0,149743.31818181818,97737.42230746546,322843.0,33109.0,130597.11538461539,99308.46348637737,0.0,0.0,122274.0,85.0,0.0,37753.60580374386,61.97222222222222,1475.860465116279,0,36,86,2231,126924
172.16.253.130,184.22.41.10,1093,80,6,2013-01-05 22:41:57,218677.0,3813.84416285206,27.437727790302592,13.718863895151296,13.718863895151296,3,3,654,180,538.0,54.0,218.0,226.29773897824668,60.0,60.0,60.0,0.0,538,54,139.0,178.45540993013725,31846.333333333332,60,60,20,1,43735.4,113292.0,56.0,53380.997299038914,113695.0,113348.0,347.0,56847.5,56500.5,105385.0,104768.0,617.0,52692.5,52075.5,0,0,0,0,1,0,0,0,0,0,0,1.0,139.0,64240,64240,0.0,0.0,0.0,0.0,113292.0,104554.0,108923.0,4369.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,60.0,0,3,3,654,180
172.16.253.130,184.22.41.10,1094,80,6,2013-01-05 22:41:58,214603.0,3886.2457654366435,27.958602629040602,13.979301314520301,13.979301314520301,3,3,654,180,538.0,54.0,218.0,226.29773897824668,60.0,60.0,60.0,0.0,538,54,139.0,178.45540993013725,31846.333333333332,60,60,20,1,42920.6,109208.0,57.0,52336.50761218215,109538.0,109265.0,273.0,54769.0,54496.0,105395.0,104785.0,610.0,52697.5,52087.5,0,0,0,0,1,0,0,0,0,0,0,1.0,139.0,64240,64240,0.0,0.0,0.0,0.0,109208.0,104505.0,106856.5,2351.5,0.0,0.0,0.0,0.0,0.0,0.0,218.0,60.0,0,3,3,654,180
172.16.253.130,184.22.41.10,1095,80,6,2013-01-05 22:41:59,9999155.0,82.80699719126267,0.600050704284512,0.4000338028563414,0.2000169014281707,4,2,708,120,538.0,54.0,177.0,208.44903453842142,60.0,60.0,60.0,0.0,538,54,138.0,178.91152375778742,32009.333333333332,80,40,20,1,1999831.0,9890817.0,58.0,3945712.665377295,9999155.0,9891036.0,352.0,3333051.6666666665,4637402.533224846,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,138.0,64240,64240,0.0,0.0,0.0,0.0,9890598.0,107709.0,4999153.5,4891444.5,0.0,0.0,0.0,0.0,0.0,0.0,177.0,60.0,0,4,2,708,120
